iter	RMSE
0	25.32992672
1	25.15668597
2	24.95434921
3	24.75460858
4	24.57637949
5	24.30774685
6	24.20953824
7	24.02729303
8	23.90638347
9	23.76461055
10	23.53243276
11	23.42672769
12	23.30414668
13	23.1652499
14	23.00196248
15	22.78902052
16	22.65067057
17	22.51700781
18	22.41622233
19	22.30138836
20	22.13558819
21	22.01129804
22	21.9394372
23	21.79499553
24	21.62501749
25	21.44687493
26	21.36064735
27	21.24051918
28	21.06580918
29	20.97354565
30	20.83582712
31	20.70332753
32	20.57331564
33	20.50459182
34	20.34068416
35	20.2365155
36	20.16604193
37	20.08020328
38	20.03630133
39	19.89647976
40	19.73641743
41	19.63316587
42	19.56179998
43	19.48149555
44	19.39727326
45	19.35007994
46	19.30986674
47	19.23527104
48	19.17581534
49	19.12074313
50	19.07185991
51	19.02151881
52	18.95946624
53	18.90335772
54	18.85544792
55	18.77980948
56	18.7117208
57	18.68099988
58	18.60068823
59	18.50528647
60	18.44250014
61	18.3999724
62	18.36135445
63	18.29133077
64	18.22445076
65	18.1743785
66	18.11442519
67	18.04783631
68	17.97394081
69	17.93947223
70	17.89829771
71	17.85549098
72	17.82209017
73	17.8195825
74	17.77598362
75	17.76377599
76	17.70808822
77	17.6310911
78	17.5839602
79	17.52591265
80	17.46331174
81	17.41149372
82	17.34939894
83	17.31942702
84	17.28829993
85	17.23223367
86	17.18026763
87	17.13043296
88	17.09041621
89	17.05746194
90	17.00224406
91	16.96016608
92	16.91772061
93	16.87423827
94	16.83428754
95	16.79052077
96	16.77925582
97	16.75621726
98	16.70132997
99	16.62652412
100	16.58876523
101	16.55602923
102	16.49659249
103	16.44808545
104	16.40156099
105	16.38333935
106	16.36402027
107	16.34069307
108	16.31005851
109	16.27722158
110	16.25251502
111	16.2136911
112	16.16110453
113	16.14110054
114	16.11725154
115	16.05794841
116	16.02925696
117	15.9692476
118	15.936302
119	15.91170855
120	15.88874712
121	15.84163626
122	15.79955215
123	15.76917948
124	15.75977196
125	15.74574945
126	15.68956303
127	15.63893845
128	15.61467115
129	15.6005805
130	15.55023278
131	15.53165169
132	15.48136673
133	15.45807584
134	15.44745784
135	15.44006977
136	15.40798326
137	15.38472303
138	15.36386897
139	15.33473155
140	15.28309373
141	15.26290294
142	15.2278225
143	15.21022556
144	15.19097938
145	15.17118408
146	15.15134478
147	15.12771882
148	15.10424147
149	15.08957177
150	15.04465285
151	15.01873252
152	15.00048089
153	14.97995501
154	14.91609481
155	14.89942467
156	14.8785468
157	14.85007632
158	14.83381044
159	14.81353544
160	14.79764577
161	14.78216721
162	14.76364679
163	14.74917634
164	14.73360009
165	14.7215384
166	14.70628809
167	14.69116663
168	14.67246395
169	14.62319087
170	14.60714743
171	14.56138031
172	14.52961864
173	14.47108023
174	14.45419655
175	14.44420947
176	14.42625063
177	14.41095025
178	14.3974714
179	14.385886
180	14.37516328
181	14.36455647
182	14.34710757
183	14.33371354
184	14.32212135
185	14.30941231
186	14.29787866
187	14.28600504
188	14.27468713
189	14.26312831
190	14.26063232
191	14.25581961
192	14.24305857
193	14.23184407
194	14.22163482
195	14.21065596
196	14.20114619
197	14.18949921
198	14.18076906
199	14.1657809
