iter	Passed	Remaining
0	1	237
1	2	242
2	4	315
3	6	294
4	7	288
5	8	263
6	9	270
7	10	253
8	11	240
9	11	224
10	12	217
11	13	205
12	13	193
13	14	191
14	15	188
15	15	183
16	16	180
17	17	177
18	18	177
19	21	191
20	22	189
21	23	190
22	24	185
23	25	186
24	26	188
25	29	197
26	30	194
27	31	191
28	32	189
29	36	205
30	37	202
31	37	198
32	38	194
33	39	190
34	40	188
35	40	185
36	41	182
37	42	180
38	42	175
39	43	174
40	44	173
41	46	174
42	47	173
43	50	178
44	51	177
45	52	174
46	52	171
47	54	173
48	56	174
49	57	171
50	57	168
51	58	166
52	59	164
53	59	162
54	60	159
55	61	159
56	63	158
57	63	156
58	66	158
59	67	157
60	67	154
61	68	152
62	69	150
63	69	147
64	70	145
65	70	144
66	71	142
67	72	140
68	73	138
69	73	136
70	74	134
71	74	133
72	75	131
73	75	128
74	76	126
75	76	124
76	77	123
77	77	121
78	78	120
79	79	119
80	80	118
81	81	117
82	82	115
83	82	114
84	83	113
85	84	111
86	85	110
87	85	109
88	86	107
89	86	106
90	87	105
91	88	103
92	89	102
93	89	101
94	90	100
95	91	99
96	93	98
97	93	97
98	94	96
99	95	95
100	96	94
101	96	93
102	97	91
103	98	90
104	98	89
105	99	88
106	100	87
107	100	85
108	101	84
109	102	83
110	102	82
111	103	81
112	105	80
113	105	79
114	106	78
115	107	77
116	108	76
117	109	75
118	110	74
119	111	74
120	111	73
121	112	71
122	113	70
123	113	69
124	114	68
125	114	67
126	115	66
127	116	65
128	116	64
129	117	63
130	118	62
131	119	61
132	121	60
133	121	59
134	122	59
135	124	58
136	124	57
137	125	56
138	126	55
139	126	54
140	127	53
141	128	52
142	129	51
143	130	50
144	132	50
145	133	49
146	134	48
147	134	47
148	135	46
149	135	45
150	136	44
151	137	43
152	137	42
153	139	41
154	139	40
155	140	39
156	141	38
157	141	37
158	142	36
159	143	35
160	143	34
161	144	33
162	144	32
163	145	31
164	146	30
165	146	30
166	147	29
167	148	28
168	148	27
169	149	26
170	149	25
171	150	24
172	151	23
173	151	22
174	152	21
175	152	20
176	153	19
177	154	19
178	154	18
179	155	17
180	156	16
181	156	15
182	157	14
183	158	13
184	158	12
185	159	12
186	160	11
187	161	10
188	161	9
189	162	8
190	163	7
191	163	6
192	164	5
193	165	5
194	166	4
195	167	3
196	167	2
197	168	1
198	169	0
199	170	0
